Improvement action,Points achieved,Regulations,Group,Solutions,Assessments,Categories,Test status
Investigate incidents in Microsoft Defender ATP,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Use Microsoft Defender ATP to identify and investigate software vulnerabilities,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Use Microsoft Defender ATP to remediate threats and vulnerabilities,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Use Microsoft Defender ATP to review the software inventory,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Use Microsoft Defender ATP to view event timelines,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, NIST 800-53",Protect against threats,None
Use Office 365 ATP to automate investigation and response,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Office 365,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Use Office 365 ATP to remediate compromised user accounts,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Office 365,"Data Protection Baseline, NIST 800-53",Protect against threats,None
Use Office 365 ATP to View and Investigate Restricted Users,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Office 365,"Data Protection Baseline, NIST 800-53",Protect against threats,None
Create a custom activity policy to discover suspicious usage patterns,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Cloud App Security,"Data Protection Baseline, NIST 800-53",Discover and respond,Could not be detected
Quarantine messages,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Exchange Online Protection,"Data Protection Baseline, NIST 800-53",Protect information,None
View device health and compliance report in Microsoft Defender ATP,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
View threat protection report in Microsoft Defender ATP,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Use Office 365 ATP Threat Explorer (or Real-Time Threat Detection),0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Office 365,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Revoke emergency/temporary access,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,None
Review and approve remediation actions in Microsoft Defender ATP,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Review alerts trigged by alert policies,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Audit,"Data Protection Baseline, NIST 800-53",Discover and respond,None
Create and manage custom detection rules in Microsoft Defender ATP,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Review audit and sign-in logs in Azure Active Directory,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, NIST 800-53",Control access,None
Monitor communications for offensive or threatening language,0/3,Data Protection Baseline,Default Group,Communication compliance,Data Protection Baseline,Manage internal risks,None
Review content containing sensitive data using Content Explorer,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Microsoft Information Protection,"Data Protection Baseline, NIST 800-53",Protect information,None
Review cloud service provider’s compliance with policies and agreements,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Create custom sensitive information types,0/3,"ISO 27001, EU GDPR, NIST 800-53, Data Protection Baseline",Default Group,Data classification,"Data Protection Baseline, EU GDPR, ISO 27001, NIST 800-53",Protect information,None
Monitor communications for sensitive information,0/3,"ISO 27001, EU GDPR, Data Protection Baseline",Default Group,Communication compliance,"Data Protection Baseline, EU GDPR, ISO 27001",Manage internal risks,None
Monitor communications using a customized policy,0/3,"ISO 27001, EU GDPR, Data Protection Baseline",Default Group,Communication compliance,"Data Protection Baseline, EU GDPR, ISO 27001",Manage internal risks,None
Review Cloud Discovery snapshot report,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Cloud App Security,"Data Protection Baseline, ISO 27001, NIST 800-53",Discover and respond,None
Use DSR cases to respond to data subject requests,0/3,"EU GDPR, Data Protection Baseline",Default Group,Security & compliance center,"Data Protection Baseline, EU GDPR",Discover and respond,None
Use Azure Active Directory to respond to DSR requests,0/3,"EU GDPR, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, EU GDPR",Control access,None
Configure email forwarding,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Exchange Online Protection,"Data Protection Baseline, NIST 800-53",Protect information,None
Use permit-by-exception and deny-by-exception practices,0/3,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Cloud App Security,"Data Protection Baseline, ISO 27001, NIST 800-53",Discover and respond,None
Enable and configure Microsoft Defender Antivirus always-on protection in Group Policy,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, NIST 800-53",Protect against threats,None
Review audit logs in Intune,0/3,"NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, NIST 800-53",Manage devices,None
Perform disposition review,0/3,"EU GDPR, NIST 800-53",Default Group,Records management,"EU GDPR, NIST 800-53",Govern information,None
Create customized or use default insider risk management policies for data leaks,0/3,"ISO 27001, EU GDPR",Default Group,Insider risk management,"EU GDPR, ISO 27001",Manage internal risks,None
Use Core eDiscovery Cases to support legal investigations,0/3,ISO 27001,Default Group,eDiscovery,ISO 27001,Discover and respond,None
Set up attorney client privilege detection in Advanced eDiscovery,0/3,ISO 27001,Default Group,eDiscovery,ISO 27001,Discover and respond,None
Search imported third-party data items with Content Search,0/3,ISO 27001,Default Group,Content Search,ISO 27001,Discover and respond,None
Recover deleted items in a user mailbox,0/3,"ISO 27001, NIST 800-53",Default Group,Exchange Online Protection,"ISO 27001, NIST 800-53",Protect information,None
Set automated app permission notification for new Oauth applications connected to your corporate environment,0/3,"ISO 27001, NIST 800-53",Default Group,Cloud App Security,"ISO 27001, NIST 800-53",Discover and respond,None
Eradicate contaminated information,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Execute actions in response to information spills,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Monitor Office 365 access,0/1,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Perform vulnerability scans,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Security Center,"Data Protection Baseline, ISO 27001, NIST 800-53",Discover and respond,None
Alert personnel of information spillage,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Monitor security and privacy training completion,0/1,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Notify upon termination or transfer within required timeframe,0/1,Data Protection Baseline,Default Group,Compliance Manager,Data Protection Baseline,Manage compliance,None
Undergo independent security review,0/1,"ISO 27001, EU GDPR, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR, ISO 27001, NIST 800-53",Manage compliance,None
Implement incident handling,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Notify upon termination or transfer,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Notify upon system usage or need-to-know changes,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Notify when account is not needed,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Remediate information system flaws,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Revoke privileged roles as appropriate,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Review user accounts,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Review threat protection status weekly,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Office 365,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Monitor account activity,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Integrate cloud app security with a siem,0/1,"NIST 800-53, Data Protection Baseline",Default Group,Cloud App Security,"Data Protection Baseline, NIST 800-53",Discover and respond,None
Correlate audit records,0/1,"NIST 800-53, Data Protection Baseline",Default Group,Cloud App Security,"Data Protection Baseline, NIST 800-53",Discover and respond,None
"Integrate audit review, analysis, and reporting",0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Report breaches to supervisory authority,0/1,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
Monitor third-party compliance,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Automate flaw remediation,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Determine auditable events,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Employ a change-detection mechanism,0/1,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Document security operations,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Test the business continuity and disaster recovery plan,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Test and evaluate security of information systems processing data,0/1,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
Develop spillage response procedures,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Identify spilled information,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Isolate information spills,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Identify contaminated systems and components,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Audit user account status,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Audit,"Data Protection Baseline, ISO 27001, NIST 800-53",Discover and respond,None
Audit privileged functions,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Audit,"Data Protection Baseline, ISO 27001, NIST 800-53",Discover and respond,None
Review file and folder activity,0/1,"NIST 800-53, Data Protection Baseline",Default Group,Audit,"Data Protection Baseline, NIST 800-53",Discover and respond,None
Review label activity and analytics,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Information Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Implement a penetration testing methodology,0/1,Data Protection Baseline,Default Group,Compliance Manager,Data Protection Baseline,Manage compliance,None
Define performance metrics,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Uninstall unused apps and services,0/1,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Deploy anti-malware software,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Install a surveillance camera system,0/1,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Observe and report security weaknesses,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Manage a secure surveillance camera system,0/1,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Report incidents to relevant parties,0/1,Data Protection Baseline,Default Group,Compliance Manager,Data Protection Baseline,Manage compliance,None
Manage data subject requests,0/1,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
Respond to rectification requests,0/1,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
Review user groups and applications with access to sensitive data,0/1,"ISO 27001, EU GDPR, NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, EU GDPR, ISO 27001, NIST 800-53",Control access,None
Use in-app functionality to respond to DSRs,0/1,"EU GDPR, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, EU GDPR",Manage compliance,None
Review administrator assignments weekly,0/1,"NIST 800-53, Data Protection Baseline",Default Group,Microsoft 365 admin center,"Data Protection Baseline, NIST 800-53",Control access,None
Review risky sign-ins,0/1,"NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, NIST 800-53",Control access,None
Review account provisioning logs,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,None
Review audit data,0/1,"NIST 800-53, Data Protection Baseline",Default Group,Audit,"Data Protection Baseline, NIST 800-53",Discover and respond,None
Review security overview,0/1,"NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, NIST 800-53",Control access,None
Review role group changes weekly,0/1,"NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, NIST 800-53",Control access,None
Review non-owner mailbox access report weekly,0/1,"NIST 800-53, Data Protection Baseline",Default Group,Exchange Online Protection,"Data Protection Baseline, NIST 800-53",Protect information,None
Review malware detections report weekly,0/1,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Office 365,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Report breaches to affected data subject,0/1,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Document and implement privacy complaint procedures,0/1,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Document and implement goods and services complaint procedure,0/1,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Maintain records of data subject request refusals,0/1,EU GDPR,Default Group,Compliance Manager,EU GDPR,Manage compliance,None
Verify personal data is deleted at the end of processing,0/1,"ISO 27001, EU GDPR, NIST 800-53",Default Group,Compliance Manager,"EU GDPR, ISO 27001, NIST 800-53",Manage compliance,None
Verify security controls for external information systems,0/1,"ISO 27001, NIST 800-53",Default Group,Compliance Manager,"ISO 27001, NIST 800-53",Manage compliance,None
Monitor the regulatory environment,0/1,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
Implement resiliency mechanisms,0/1,ISO 27001,Default Group,Compliance Manager,ISO 27001,Manage compliance,None
